category,price,currency,price_1m2,title,address,floor,area,title_deed,repair,mortgage,url,room_number
Yeni tikili,118 000,AZN,1 360 AZN/m²,"Satılır 3 otaqlı yeni tikili 87 m², Masazır q.",Masazır Novxanı yolu,6 / 7,87 m²,var,var,,https://bina.az/items/3547348,3.0
Köhnə tikili,145 000,AZN,2 070 AZN/m²,"Satılır 3 otaqlı köhnə tikili 70 m², Bakıxanov q.",Eldar Xəlilov küç.,4 / 5,70 m²,var,var,,https://bina.az/items/3835781,3.0
Köhnə tikili,118 000,AZN,2 110 AZN/m²,"Satılır 2 otaqlı köhnə tikili 56 m², Həzi Aslanov m.",Gəncə pr. ev 27,6 / 9,56 m²,var,var,,https://bina.az/items/3830870,2.0
Köhnə tikili,126 000,AZN,2 650 AZN/m²,"Satılır 3 otaqlı köhnə tikili 47.5 m², Xalqlar Dostluğu m.",Bəhruz Nuriyev 63,3 / 5,47.5 m²,var,var,,https://bina.az/items/3835757,3.0
Köhnə tikili,175 500,AZN,3 080 AZN/m²,"Satılır 1 otaqlı köhnə tikili 57 m², Sahil m.",28 May küç. 14,2 / 5,57 m²,var,var,var,https://bina.az/items/3835741,1.0
Köhnə tikili,119 000,AZN,1 320 AZN/m²,"Satılır 3 otaqlı köhnə tikili 90 m², Qara Qarayev m.",Qara Qarayev pr. 23a,1 / 5,90 m²,var,var,,https://bina.az/items/3835740,3.0
Köhnə tikili,200 000,AZN,2 000 AZN/m²,"Satılır 3 otaqlı köhnə tikili 100 m², Səbail r.",Xəqani küç. 33,3 / 3,100 m²,var,,,https://bina.az/items/3835735,3.0
Yeni tikili,266 000,AZN,2 530 AZN/m²,"Satılır 3 otaqlı yeni tikili 105 m², 8 Noyabr m.",S.Vurğun küçəsi 15,10 / 16,105 m²,yoxdur,var,,https://bina.az/items/3835726,3.0
Yeni tikili,148 000,AZN,1 480 AZN/m²,"Satılır 3 otaqlı yeni tikili 100 m², Həzi Aslanov q.",General Şıxlinski 59b,3 / 16,100 m²,var,,,https://bina.az/items/3835734,3.0
Yeni tikili,134 000,AZN,1 910 AZN/m²,"Satılır 2 otaqlı yeni tikili 70 m², İnşaatçılar m.",Məhəmməd Xiyabani 194,7 / 12,70 m²,var,var,,https://bina.az/items/3835732,2.0
Yeni tikili,265 000,AZN,2 170 AZN/m²,"Satılır 3 otaqlı yeni tikili 122 m², Memar Əcəmi m.",Hüseyn Seyidzade 19B,17 / 18,122 m²,yoxdur,var,,https://bina.az/items/3835707,3.0
